Rozmiar,Metoda,Operacja,Przypadek,Czas_ns
5000,sondowanie_kwadratowe,szukanie,pesymistyczny,83
5000,sondowanie_kwadratowe,usuwanie,optymistyczny,58
5000,sondowanie_kwadratowe,usuwanie,sredni,55
5000,sondowanie_kwadratowe,usuwanie,pesymistyczny,95
10000,sondowanie_liniowe,dodawanie,optymistyczny,59
10000,sondowanie_liniowe,dodawanie,sredni,58
10000,sondowanie_liniowe,dodawanie,pesymistyczny,115
10000,sondowanie_liniowe,szukanie,optymistyczny,49
10000,sondowanie_liniowe,szukanie,sredni,50
10000,sondowanie_liniowe,szukanie,pesymistyczny,163
10000,sondowanie_liniowe,usuwanie,optymistyczny,63
10000,sondowanie_liniowe,usuwanie,sredni,70
10000,sondowanie_liniowe,usuwanie,pesymistyczny,185
10000,lancuchowanie,dodawanie,optymistyczny,246
10000,lancuchowanie,dodawanie,sredni,295
10000,lancuchowanie,dodawanie,pesymistyczny,316
10000,lancuchowanie,szukanie,optymistyczny,114
10000,lancuchowanie,szukanie,sredni,83
10000,lancuchowanie,szukanie,pesymistyczny,87
10000,lancuchowanie,usuwanie,optymistyczny,131
10000,lancuchowanie,usuwanie,sredni,129
10000,lancuchowanie,usuwanie,pesymistyczny,140
10000,robin_hood,dodawanie,optymistyczny,90
10000,robin_hood,dodawanie,sredni,86
10000,robin_hood,dodawanie,pesymistyczny,209
10000,robin_hood,szukanie,optymistyczny,45
10000,robin_hood,szukanie,sredni,44
10000,robin_hood,szukanie,pesymistyczny,80
10000,robin_hood,usuwanie,optymistyczny,90
10000,robin_hood,usuwanie,sredni,95
10000,robin_hood,usuwanie,pesymistyczny,107
10000,sondowanie_kwadratowe,dodawanie,optymistyczny,69
10000,sondowanie_kwadratowe,dodawanie,sredni,76
10000,sondowanie_kwadratowe,dodawanie,pesymistyczny,88
10000,sondowanie_kwadratowe,szukanie,optymistyczny,54
10000,sondowanie_kwadratowe,szukanie,sredni,45
10000,sondowanie_kwadratowe,szukanie,pesymistyczny,107
10000,sondowanie_kwadratowe,usuwanie,optymistyczny,73
10000,sondowanie_kwadratowe,usuwanie,sredni,72
10000,sondowanie_kwadratowe,usuwanie,pesymistyczny,131
20000,sondowanie_liniowe,dodawanie,optymistyczny,92
20000,sondowanie_liniowe,dodawanie,sredni,96
20000,sondowanie_liniowe,dodawanie,pesymistyczny,136
20000,sondowanie_liniowe,szukanie,optymistyczny,49
